timestamp,count,sex
2025-01-07 10:33:44,In,M
2025-01-07 10:33:45,In,F
2025-01-07 10:33:46,In,M
2025-01-07 10:33:46,In,M
2025-01-07 10:34:14,out_not_buy,M
2025-01-07 10:34:14,out_not_buy,M
2025-01-07 10:34:15,out_not_buy,M
2025-01-07 10:34:16,out_not_buy,F
2025-01-07 10:34:19,out_not_buy,F
2025-01-07 10:34:44,out_bought,F
2025-01-07 10:34:49,out_not_buy,F
2025-01-07 10:35:00,In,M
2025-01-07 10:35:01,In,F
2025-01-07 10:35:05,out_not_buy,F
2025-01-07 10:35:06,out_not_buy,M
2025-01-07 10:35:06,In,F
2025-01-07 10:35:07,In,F
2025-01-07 10:35:10,In,M
2025-01-07 10:35:11,In,F
2025-01-07 10:35:11,In,F
2025-01-07 10:35:14,out_not_buy,F
2025-01-07 10:35:30,In,M
2025-01-07 10:35:42,out_not_buy,F
2025-01-07 10:35:51,out_not_buy,F
2025-01-07 10:36:10,out_not_buy,M
2025-01-07 10:36:13,In,F
2025-01-07 10:36:14,In,F
2025-01-07 10:36:43,In,F
2025-01-07 10:37:00,In,F
2025-01-07 10:37:03,out_not_buy,F
2025-01-07 10:37:43,In,F
2025-01-07 10:37:46,out_bought,M
2025-01-07 10:37:47,out_not_buy,M
2025-01-07 10:37:48,out_not_buy,F
2025-01-07 10:37:55,out_bought,F
2025-01-07 10:37:58,out_not_buy,F
2025-01-07 10:37:58,out_not_buy,F
2025-01-07 10:38:07,In,F
2025-01-07 10:38:08,In,F
2025-01-07 10:38:08,In,F
2025-01-07 10:38:09,out_not_buy,M
2025-01-07 10:38:10,out_not_buy,F
2025-01-07 10:38:11,In,F
2025-01-07 10:38:12,In,F
2025-01-07 10:38:23,In,M
2025-01-07 10:38:24,In,F
2025-01-07 10:38:58,out_bought,M
2025-01-07 10:38:59,out_bought,F
2025-01-07 10:39:00,In,M
2025-01-07 10:39:01,In,M
2025-01-07 10:39:10,In,F
2025-01-07 10:39:11,In,F
2025-01-07 10:39:11,In,M
2025-01-07 10:39:24,out_not_buy,F
2025-01-07 10:39:24,out_not_buy,F
2025-01-07 10:39:25,out_not_buy,F
2025-01-07 10:39:26,In,F
2025-01-07 10:39:26,In,M
2025-01-07 10:39:31,In,F
2025-01-07 10:39:43,In,M
2025-01-07 10:39:45,In,F
2025-01-07 10:40:04,out_not_buy,M
2025-01-07 10:40:04,out_not_buy,M
2025-01-07 10:40:05,out_not_buy,M
2025-01-07 10:40:05,out_not_buy,F
2025-01-07 10:40:12,In,M
2025-01-07 10:40:13,In,F
2025-01-07 10:40:16,In,M
2025-01-07 10:40:33,In,M
2025-01-07 10:40:33,In,F
2025-01-07 10:40:35,In,M
2025-01-07 10:40:45,In,F
2025-01-07 10:40:46,In,F
2025-01-07 10:40:46,In,M
2025-01-07 10:40:48,In,F
2025-01-07 10:41:06,out_not_buy,F
2025-01-07 10:41:07,out_bought,F
2025-01-07 10:41:09,In,F
2025-01-07 10:41:09,In,F
2025-01-07 10:41:13,out_not_buy,M
2025-01-07 10:41:14,out_not_buy,F
2025-01-07 10:41:18,In,M
2025-01-07 10:41:37,In,M
2025-01-07 10:41:38,In,M
2025-01-07 10:41:53,In,F
2025-01-07 10:41:54,out_not_buy,M
2025-01-07 10:41:55,out_not_buy,F
2025-01-07 10:42:02,In,M
2025-01-07 10:42:08,out_bought,M
2025-01-07 10:42:14,In,M
2025-01-07 10:42:14,In,M
2025-01-07 10:42:16,out_not_buy,M
2025-01-07 10:42:19,out_not_buy,M
2025-01-07 10:42:20,out_not_buy,F
2025-01-07 10:42:22,In,F
2025-01-07 10:42:30,In,M
2025-01-07 10:42:31,In,F
2025-01-07 10:42:36,In,M
2025-01-07 10:42:37,In,F
2025-01-07 10:42:49,out_not_buy,M
2025-01-07 10:42:50,out_not_buy,F
2025-01-07 10:42:50,out_not_buy,M
2025-01-07 10:42:51,In,F
2025-01-07 10:42:51,In,F
2025-01-07 10:42:54,out_not_buy,F
2025-01-07 10:43:36,In,M
2025-01-07 10:43:37,In,F
2025-01-07 10:43:42,out_not_buy,F
2025-01-07 10:43:43,out_not_buy,F
2025-01-07 10:43:45,out_not_buy,M
2025-01-07 10:43:47,In,F
2025-01-07 10:43:48,out_not_buy,M
2025-01-07 10:44:08,out_not_buy,M
2025-01-07 10:44:08,out_not_buy,F
2025-01-07 10:44:09,out_not_buy,M
2025-01-07 10:44:10,out_not_buy,M
2025-01-07 10:44:11,out_not_buy,F
2025-01-07 10:44:13,out_not_buy,F
2025-01-07 10:44:15,out_not_buy,F
2025-01-07 10:44:17,out_not_buy,F
2025-01-07 10:44:28,In,F
2025-01-07 10:44:29,In,F
2025-01-07 10:44:34,In,F
2025-01-07 10:44:42,In,F
2025-01-07 10:44:44,In,F
2025-01-07 10:44:44,In,F
2025-01-07 10:44:45,In,M
2025-01-07 10:44:46,In,F
2025-01-07 10:44:47,In,M
2025-01-07 10:44:48,out_not_buy,M
2025-01-07 10:44:48,out_not_buy,F
2025-01-07 10:44:55,out_not_buy,M
2025-01-07 10:44:56,out_not_buy,F
2025-01-07 10:45:07,out_not_buy,F
2025-01-07 10:45:09,In,M
2025-01-07 10:45:10,In,M
2025-01-07 10:45:32,In,F
2025-01-07 10:45:33,In,F
2025-01-07 10:45:33,In,M
2025-01-07 10:45:34,In,M
2025-01-07 10:45:43,In,M
2025-01-07 10:46:08,In,M
2025-01-07 10:46:08,In,M
2025-01-07 10:46:09,In,M
2025-01-07 10:46:09,In,F
2025-01-07 10:46:10,In,F
2025-01-07 10:46:22,In,M
2025-01-07 10:46:23,In,M
2025-01-07 10:46:58,In,M
2025-01-07 10:46:59,In,F
2025-01-07 10:46:59,In,M
2025-01-07 10:47:00,In,F
2025-01-07 10:47:04,In,M
2025-01-07 10:47:05,In,M
2025-01-07 10:47:24,out_not_buy,F
2025-01-07 10:47:31,out_bought,F
2025-01-07 10:47:39,out_not_buy,F
